experiment,model,size,k_folds,model_type,alpha,linear_r2_mean,linear_r2_std,linear_adj_r2_mean,linear_adj_r2_std,pca_r2_mean,pca_r2_std,pca_adj_r2_mean,pca_adj_r2_std,pca_explained_var_mean,pca_explained_var_std,linear_proportion_significant_mean,linear_proportion_significant_std,pca_proportion_significant_mean,pca_proportion_significant_std,linear_f_pvalue_mean,linear_f_pvalue_std,pca_f_pvalue_mean,pca_f_pvalue_std,linear_aic_mean,linear_bic_mean,pca_aic_mean,pca_bic_mean
positive_decimals_statsmodels,text-embedding-3-small,15,5,Statsmodels_OLS,0.05,0.9650676737982957,0.005334998489413785,0.9650676737982957,0.005334998489413785,0.7766701747687639,0.02567407464849719,0.7743912990010983,0.02593605500205331,0.043256037376926106,0.0004172796071991629,0.0,0.0,1.0,0.0,,,3.9633153923855565e-122,7.92662952768699e-122,-24668.291455272833,-23071.705636429637,-452.7849474270066,-444.8020183327906
positive_decimals_statsmodels,text-embedding-3-small,16,5,Statsmodels_OLS,0.05,0.959242964178399,0.005863113298313172,0.959242964178399,0.005863113298313172,0.8074669877568799,0.039514371479001976,0.8055023651829704,0.0399175793512367,0.04615785318346456,0.0009840872940485976,0.0,0.0,1.0,0.0,,,5.400406302297561e-133,1.0800812554455872e-132,-24747.024991394876,-23150.439172551683,-503.14960478988417,-495.16667569566823
positive_decimals_statsmodels,text-embedding-3-small,17,5,Statsmodels_OLS,0.05,0.9683577592408975,0.004824368383823346,0.9683577592408975,0.004824368383823346,0.7784539643818951,0.04322519050169542,0.7761932905490573,0.043666263874161663,0.04674051572582695,0.0017449258068434306,0.0,0.0,1.0,0.0,,,4.162341484029639e-131,8.324681662824217e-131,-24645.10167781434,-23048.515858971143,-470.2543690773273,-462.27143998311124
positive_decimals_statsmodels,text-embedding-3-small,18,5,Statsmodels_OLS,0.05,0.9582226003416114,0.007180124628819149,0.9582226003416114,0.007180124628819149,0.7365266803221091,0.03273697203893458,0.7338381770600898,0.03307102277402574,0.04397794691710066,0.0009171464533187372,0.0,0.0,1.0,0.0,,,2.6004862670223342e-93,5.2009725340446685e-93,-24677.692750164344,-23081.106931321156,-405.20945028058134,-397.2265211863653
positive_decimals_statsmodels,text-embedding-3-small,19,5,Statsmodels_OLS,0.05,0.9633107845070008,0.005063765066181391,0.9633107845070008,0.005063765066181391,0.7977220818359444,0.02640493492245263,0.7956580214465153,0.02667437303390621,0.04602013923756393,0.0005415938143645727,0.0,0.0,1.0,0.0,,,6.110317161319211e-136,1.2220633590330011e-135,-24581.598096143276,-22985.012277300084,-478.27742615466633,-470.29449706045034
positive_decimals_statsmodels,text-embedding-ada-002,1,5,Statsmodels_OLS,0.05,0.9999776827792461,1.2773777424848773e-05,0.9999776827792461,1.2773777424848773e-05,0.7769811216030919,0.034352580862145744,0.7747054187623071,0.03470311740155535,0.1649583036713879,0.0020563755924032263,0.0006510416666666666,0.0,1.0,0.0,0.0,0.0,1.7346708058454974e-123,3.468966822904898e-123,-4183.573331464172,-4143.658685993092,-457.5508901892348,-449.56796109501886
positive_decimals_statsmodels,text-embedding-ada-002,2,5,Statsmodels_OLS,0.05,0.9998893004176683,0.00011408029764011016,0.9998893004176683,0.00011408029764011016,0.8170870187820727,0.015556005587517173,0.8152205597900531,0.015714740338410235,0.1053342879360581,0.0014934795371689918,1.0,0.0,1.0,0.0,0.0,0.0,7.525186899565123e-135,1.505037379913024e-134,-24721.194287555125,-24255.78952136233,-526.7559304997017,-518.7730014054857
positive_decimals_statsmodels,text-embedding-ada-002,3,5,Statsmodels_OLS,0.05,0.9895142091119835,0.002028092172083007,0.9895142091119835,0.002028092172083007,0.6870164850775022,0.08008071147336712,0.6838227757415586,0.08089786159044234,0.06216093207503047,0.0010561332624627947,1.0,0.0,1.0,0.0,0.0,0.0,3.206049875556748e-92,6.4120996953704e-92,-24644.05070951938,-23275.776662770764,-339.18676227793776,-331.20383318372177
positive_decimals_statsmodels,text-embedding-ada-002,4,5,Statsmodels_OLS,0.05,0.9766813998628242,0.002990118838398676,0.9766813998628242,0.002990118838398676,0.2509138232956064,0.03120593336723695,0.24327008679862283,0.03152436125873935,0.05049723208671353,0.0007300677898656751,1.0,0.0,1.0,0.0,2.4154118633082996e-79,4.830823726614459e-79,1.1468196381910387e-18,2.29276110615043e-18,-24749.77852396849,-23186.721007321,-23.751876158817844,-15.768947064601884
positive_decimals_statsmodels,text-embedding-ada-002,5,5,Statsmodels_OLS,0.05,0.972773267363559,0.004179723170733863,0.972773267363559,0.004179723170733863,0.49318952700052526,0.04026460081985753,0.4880179915617552,0.04067546409352952,0.04516793318985816,0.0011629810484948785,0.0,0.0,1.0,0.0,,,3.64952166297602e-50,7.296234660443627e-50,-24597.428038057456,-23000.842219214264,-116.18307546847961,-108.20014637426365
positive_decimals_statsmodels,text-embedding-ada-002,6,5,Statsmodels_OLS,0.05,0.9510422662339403,0.013806338318637763,0.9510422662339403,0.013806338318637763,0.480708576503872,0.04077665659004685,0.47540968442738096,0.04119274492259837,0.04451651529732478,0.0006583341860865402,0.0,0.0,1.0,0.0,,,3.422693864984384e-51,6.841225886749968e-51,-24614.045379760915,-23017.459560917727,-145.50306198559673,-137.52013289138077
positive_decimals_statsmodels,text-embedding-ada-002,7,5,Statsmodels_OLS,0.05,0.974727226990223,0.0030544579162956344,0.974727226990223,0.0030544579162956344,0.7572172143313279,0.05450161233525539,0.7547398389673619,0.05505775123663555,0.0496425409950067,0.0009872200023870055,0.0,0.0,1.0,0.0,,,3.0819834506789254e-117,5.9289768725301754e-117,-24643.23792225062,-23046.652103407432,-451.20150356184206,-443.21857446762607
