experiment,model,size,linear_r2,pca_r2,pca_var_comp_1,pca_var_comp_2,pca_var_comp_3,pca_var_comp_4,pca_var_comp_5,pca_cumulative_var_5
positive_decimals,voyage-code-3,9,0.9961956268984419,-2935.5054103678262,0.21394144594937833,0.08024742752336778,0.04879928739771219,0.04507507108927606,0.039079179377292265,0.4271424113370267
positive_decimals,voyage-code-3,10,0.9960962212930567,-2585.763452003404,0.22431140322798152,0.08194270545017082,0.04983205986586493,0.04382780385252237,0.03683108076060352,0.4367450531571432
positive_decimals,voyage-code-3,11,0.995275349228593,-2551.8420316371794,0.22302439039372307,0.08734517357463427,0.05033472111285342,0.042497131786336545,0.040225989236914984,0.4434274061044623
positive_decimals,voyage-code-3,12,0.9961839648723738,-2865.1467495597044,0.2229470033061881,0.08894385354312373,0.04721504051018273,0.046022154552584564,0.03789652332634775,0.44302457523842687
positive_decimals,voyage-code-3,13,0.9957523911773866,-2844.653926980069,0.22694525690470005,0.0864542673023532,0.04737223166734886,0.04261114892113288,0.03535076237978362,0.43873366717531864
positive_decimals,voyage-code-3,14,0.9940086586228017,-2803.849705517718,0.2262914907240441,0.08151992526931316,0.04451525787682487,0.04053870687916617,0.03726732344473262,0.4301327041940809
positive_decimals,voyage-code-3,15,0.9909843047719606,-2690.0130150175246,0.23527595125491957,0.09395168161503616,0.049472222881384795,0.04184363636787191,0.0353492518704406,0.455892743989653
positive_decimals,voyage-code-3,16,0.9956755033532447,-2821.236836524918,0.23756649617801184,0.0865827418249331,0.04236713951768117,0.04015284577689739,0.03666265772020034,0.4433318810177238
positive_decimals,voyage-code-3,17,0.9961226644219635,-2790.8654949006655,0.22917732518673592,0.08297411418425674,0.04744695726981868,0.042415841692829054,0.03543238962911802,0.4374466279627584
positive_decimals,voyage-code-3,18,0.9956709357487527,-2722.4537883063017,0.21377687148043062,0.07842742369211511,0.04610723812112249,0.044963449132527596,0.03342520319417331,0.41670018562036915
positive_decimals,voyage-code-3,19,0.9966186814391399,-2382.648019738767,0.2197824477273257,0.08031162797305429,0.04268153698510335,0.03993855988430644,0.03613649676564884,0.41885066933543863
positive_decimals,voyage-finance-2,1,0.9999999060382502,-3448.660556602803,0.2891275541738233,0.15434993479493636,0.14257107167599936,0.11026570657338092,0.08015704906158377,0.7764713162797237
positive_decimals,voyage-finance-2,2,0.9999589149670135,-2138.209267116972,0.1957613148436649,0.12183147618096733,0.10981634337759355,0.07962254219880231,0.07022904704723373,0.5772607236482619
positive_decimals,voyage-finance-2,3,0.9987363829424123,-2216.9699851529513,0.16880892439100748,0.10506323244680213,0.09022754167246468,0.08019419802229524,0.07618105571984354,0.5204749522524131
positive_decimals,voyage-finance-2,4,0.9961312591286176,-2232.6716855905165,0.1799748891691557,0.0963572809558639,0.0901726574597746,0.08111493406130595,0.07687584271195788,0.524495604358058
positive_decimals,voyage-finance-2,5,0.9958542347859287,-2463.2429256821733,0.21356078293676703,0.09067815376985747,0.08501651073769309,0.07611764890589909,0.06593284723025448,0.5313059435804712
positive_decimals,voyage-finance-2,6,0.996518726635898,-2503.7424701661284,0.1829075323369588,0.09141866705068172,0.0876296791186931,0.0780658660005881,0.07150618982283088,0.5115279343297525
