experiment,model,expected_similarity,scale_factor,decimal_size,magnitude_range,mean_similarity,std_similarity,accuracy_within_tolerance,mean_absolute_error,root_mean_square_error,correlation_with_expected
negative_relationships,gemini-embedding-001,-1.0,,10,"(1e-05, 0.49999)",0.9881361530457297,0.0021342769564838254,0.0,1.9881361530457298,1.9881372986254244,
negative_relationships,gemini-embedding-001,-1.0,,11,"(1e-05, 0.99999)",0.9870943014161855,0.0032188565726449948,0.0,1.9870943014161857,1.9870969084969947,
negative_relationships,gemini-embedding-001,-1.0,,11,"(1e-05, 0.49999)",0.9883815104210327,0.0026983393755426045,0.0,1.9883815104210327,1.9883833413151533,
negative_relationships,gemini-embedding-001,-1.0,,12,"(1e-05, 0.99999)",0.9870942757256128,0.0032119098207410977,0.0,1.9870942757256125,1.9870968715657003,
negative_relationships,gemini-embedding-001,-1.0,,12,"(1e-05, 0.49999)",0.988395839708015,0.00202031176888044,0.0,1.988395839708015,1.988396866077742,
negative_relationships,gemini-embedding-001,-1.0,,13,"(1e-05, 0.99999)",0.9862905007114483,0.0036431814068034296,0.0,1.9862905007114482,1.9862938418036993,
negative_relationships,gemini-embedding-001,-1.0,,13,"(1e-05, 0.49999)",0.9884835549182567,0.002006017157034646,0.0,1.9884835549182567,1.988484566770681,
negative_relationships,gemini-embedding-001,-1.0,,14,"(1e-05, 0.99999)",0.9850594421826121,0.0043353750099503095,0.0,1.9850594421826122,1.985064176412143,
negative_relationships,gemini-embedding-001,-1.0,,14,"(1e-05, 0.49999)",0.9878323659127485,0.0022780888892601015,0.0,1.9878323659127486,1.9878336712761615,
negative_relationships,voyage-multimodal-3,-1.0,,1,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,1,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,2,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,2,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,3,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,3,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,4,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,4,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,5,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,5,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,6,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,6,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,7,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,7,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,8,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,8,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,9,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,9,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,10,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,10,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,11,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,11,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,12,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,12,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,13,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,13,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,14,"(1e-05, 0.99999)",,,,,,
negative_relationships,voyage-multimodal-3,-1.0,,14,"(1e-05, 0.49999)",,,,,,
negative_relationships,voyage-finance-2,-1.0,,1,"(1e-05, 0.99999)",0.823681239323625,0.013704091548553324,0.0,1.823681239323625,1.8237327284408,
negative_relationships,voyage-finance-2,-1.0,,1,"(1e-05, 0.49999)",0.8271708853235936,0.011721088303552705,0.0,1.8271708853235937,1.8272084796446257,
negative_relationships,voyage-finance-2,-1.0,,2,"(1e-05, 0.99999)",0.8416526536120346,0.006939518596889802,0.0,1.8416526536120348,1.8416657279415842,
negative_relationships,voyage-finance-2,-1.0,,2,"(1e-05, 0.49999)",0.8420594188570166,0.005867289159817187,0.0,1.8420594188570165,1.842068763016716,
negative_relationships,voyage-finance-2,-1.0,,3,"(1e-05, 0.99999)",0.855906539701164,0.00667096206040479,0.0,1.855906539701164,1.8559185288800693,
